date,article_id,article_prefix,article_category,service_type,issue_text,issue_type
2026-04-25,RD384402891IN,RD,Registered ®,Other,Unable to track article showing invalid error,Tracking Issue
2026-04-25,JL285518195IN,JL,Bulk Speed Post (J),Speed Post,Tracking not updated even after 48 hours,Tracking Issue
2026-04-25,CG228309340IN,CG,COD (C),COD Parcel,Item booked but not delivered after long delay,Delivery Delay
2026-04-25,CD939077190IN,CD,COD (C),COD Parcel,Parcel delayed with no updates for several days,Delivery Delay
2026-04-25,JG802521085IN,JG,Bulk Speed Post (J),Speed Post,Marked addressee absent without delivery attempt,Fake Delivery Attempt
2026-04-25,EN416233587IN,EN,Speed Post (E),Speed Post,Marked delivered but not received even after many days,Fake Delivery Attempt
2026-04-25,EK940661457IN,EK,Speed Post (E),Speed Post,Speed Post not delivered,Delivery Delay
2026-04-25,CX024200681IN,CX,COD (C),COD Parcel,Parcel pickup not completed,Delivery Delay
2026-04-24,EY093529760IN,EY,Speed Post (E),Speed Post,No tracking updates and not delivered,Tracking Issue
2026-04-24,EN418127127IN,EN,Speed Post (E),Speed Post,Service timing inconsistency at post office,Service Issue
2026-04-24,PP230912871IN,PP,Parcel (P),Speed Post,Delivery marked unsuccessful due to missent,Delivery Delay
2026-04-24,JJ668325134IN,JJ,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-04-24,JN098969335IN,JN,Bulk Speed Post (J),Speed Post,Out for delivery but no contact information provided,Service Issue
2026-04-24,EH278714495IN,EH,Speed Post (E),Speed Post,Marked delivered but not received with fake update,Fake Delivery Attempt
2026-04-24,JI165382054IN,JI,Bulk Speed Post (J),Speed Post,PAN card not delivered after long delay,Delivery Delay
2026-04-23,ED292553649IN,ED,Speed Post (E),Speed Post,Request for update on complaint,Other
2026-04-23,UC530431630IN,UC,Registered Parcel (U),Speed Post,Postman not delivering on time,Delivery Delay
2026-04-23,AW796035776IN,AW,Air Mail (A),Ack. Regd. Article,Dispatched but not delivered,Delivery Delay
2026-04-22,JJ892696555IN,JJ,Bulk Speed Post (J),Speed Post,Out for delivery but not received,Delivery Delay
2026-04-22,EF830986337IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-22,EG208565180IN,EG,Speed Post (E),Speed Post,Reached location but not delivered,Delivery Delay
2026-04-22,JA963822373IN,JA,Bulk Speed Post (J),Speed Post,No tracking update for important document,Tracking Issue
2026-04-22,CA720504695IN,CA,COD (C),COD Parcel,Stuck at export customs with no update,Tracking Issue
